Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
56,male,0,free,quite rich,21,6213100,29,education,Bad
69,male,0,rent,little,22,3690511,53,car,Bad
46,male,3,free,little,24,2517209,52,education,Bad
32,male,3,rent,little,7,626925,49,furniture/equipment,Bad
60,male,1,own,little,27,6857450,14,education,Bad
25,male,2,own,quite rich,8,3025609,45,car,Good
38,male,1,rent,little,19,9245155,55,vacation/others,Bad
56,male,1,own,little,20,706752,28,car,Bad
36,male,0,own,moderate,16,1439462,55,repairs,Bad
40,female,2,own,little,22,4849302,18,business,Bad
28,male,0,free,little,27,7787268,37,furniture/equipment,Bad
28,male,2,own,little,7,6217682,55,vacation/others,Bad
41,male,2,own,little,9,7304425,20,radio/TV,Bad
53,male,2,own,rich,13,5258570,41,vacation/others,Good
57,male,0,own,moderate,1,4923416,54,vacation/others,Bad
41,male,0,own,little,29,5310766,10,education,Bad
20,male,0,own,moderate,8,1237317,27,repairs,Bad
39,male,0,own,little,24,7458862,21,education,Bad
19,male,0,rent,little,22,5660068,46,education,Bad
41,male,3,own,little,4,3057532,15,radio/TV,Bad
61,male,1,rent,little,3,2266354,29,furniture/equipment,Bad
47,male,0,rent,little,27,399189,23,car,Bad
55,male,0,own,moderate,3,6608850,54,domestic appliances,Bad
19,male,1,own,quite rich,22,1659049,23,education,Bad
38,male,1,own,little,13,6236821,12,domestic appliances,Bad
50,female,1,rent,little,8,1732145,9,furniture/equipment,Bad
29,male,3,own,little,7,9344561,31,domestic appliances,Bad
39,male,1,own,little,27,604655,10,education,Bad
61,male,3,own,little,1,336824,21,radio/TV,Bad
42,male,2,own,little,27,9556587,40,domestic appliances,Bad
66,male,0,own,moderate,16,3249409,31,furniture/equipment,Bad
44,male,3,own,little,6,4648003,23,furniture/equipment,Bad
59,male,0,rent,little,7,4125282,34,business,Bad
45,male,2,own,little,12,4266289,28,business,Bad
33,male,0,own,little,23,193246,58,radio/TV,Bad
32,female,2,own,little,9,3807120,19,domestic appliances,Bad
64,male,2,rent,moderate,27,8697494,20,domestic appliances,Bad
68,male,2,own,little,11,2467713,54,business,Bad
61,male,2,rent,moderate,10,9918216,38,car,Bad
69,female,0,own,little,21,2914147,30,repairs,Bad
20,male,0,own,little,1,2384798,26,furniture/equipment,Bad
54,male,1,own,little,18,1632337,22,car,Bad
68,female,0,own,moderate,4,618496,28,furniture/equipment,Bad
24,female,1,own,little,5,5387699,48,vacation/others,Bad
38,female,0,own,moderate,9,615373,22,vacation/others,Bad
26,male,3,rent,little,27,7197065,19,car,Bad
56,male,1,own,moderate,17,9405600,34,vacation/others,Bad
35,male,2,own,little,3,320326,25,business,Bad
21,female,0,own,moderate,16,3229486,35,business,Bad
42,male,2,own,little,5,6737935,24,repairs,Bad
31,male,3,own,quite rich,16,3622810,58,car,Good
67,male,1,own,little,3,9935351,44,furniture/equipment,Bad
26,male,1,own,little,20,5580354,18,domestic appliances,Bad
43,male,2,own,little,15,6675273,23,furniture/equipment,Bad
19,male,0,own,moderate,3,9389461,28,education,Bad
37,male,1,own,little,20,4547321,51,business,Bad
45,male,0,own,moderate,14,751824,38,radio/TV,Bad
64,male,0,own,little,16,3006405,44,radio/TV,Bad
24,male,0,free,little,29,5966645,45,business,Bad
61,male,0,own,little,29,8169552,23,education,Bad
25,male,0,own,rich,17,4669146,14,radio/TV,Bad
64,male,0,own,moderate,28,2570856,38,vacation/others,Bad
52,male,3,rent,quite rich,24,3239782,37,business,Good
31,male,1,rent,little,20,1750224,59,radio/TV,Bad
34,male,3,own,moderate,23,1448055,22,business,Good
53,male,1,free,moderate,18,9344391,24,repairs,Bad
67,male,0,own,little,18,5195670,32,domestic appliances,Bad
57,male,1,own,moderate,22,2330653,11,domestic appliances,Bad
21,male,1,rent,quite rich,14,684942,40,furniture/equipment,Bad
19,female,0,rent,quite rich,18,3264709,42,education,Bad
23,male,1,own,moderate,15,1520654,39,business,Bad
59,female,0,own,little,15,6448477,25,car,Bad
21,male,1,own,little,6,8455425,30,furniture/equipment,Bad
46,male,1,own,rich,27,5969494,9,furniture/equipment,Bad
35,male,0,rent,little,15,8837456,15,business,Bad
